,content_ps,topic_ps,type_re,topic_re,title_re,content_re,label
243,"Drop in turnover has had an advserse effect on our profit margin, which in turn has had a negative impact on our ability to maintain growth equal to 2019-2020 levels.",Sales & Growth ,action plans,Planning,Predict future trends in your market,"Market disruptors, new technology and cultural shifts can all have an impact on business development, but business leaders need to focus on predicting future trends, rather than just reacting to change. This starts with keeping yourself and your employees proactively engaged in change and encouraging a company culture that anticipates what’s ahead.",1.0
244,"Drop in turnover has had an advserse effect on our profit margin, which in turn has had a negative impact on our ability to maintain growth equal to 2019-2020 levels.",Sales & Growth ,action plans,Sales & Growth,Identifying growth opportunities in your current customer base,Starting at the bottom of your sales funnel is a great way to increase revenue. What new opportunities can you find to help your existing customers? Market research is easier because you have existing relationships and the cost of sale is likely to be lower because you don’t need to reach a new audience.,1.0
245,"Drop in turnover has had an advserse effect on our profit margin, which in turn has had a negative impact on our ability to maintain growth equal to 2019-2020 levels.",Sales & Growth ,guides,People & Team,An introduction to improving hiring and onboarding practices,"Businesses need strong hiring and onboarding practices to attract and retain talent that’s moving around more than ever.The current challenges faced by business leaders are indicative of how much employee expectations and ambitions have changed. The era of lifetime employment is over – 21 per cent of millennials changed jobs in the past year, more than three times the number of non-millennials.There are also higher expectations for onboarding too. Research found that 91 per cent would consider leaving a job within their first month and 93 per cent during their probation period.Few businesses can afford to make mistakes when it comes to hiring, whether it’s recruiting the wrong person or failing to spend enough time integrating them into the company.It’s essential to think about how – and where – you’re finding candidates and what their first experiences of your business are like.In this guide, we’ll look at how hiring and onboarding has changed, common mistakes companies make and quick wins that can improve your practices. The next step will be to use our focussed Action Plan to direct your change and improvement.",0.0
246,"Drop in turnover has had an advserse effect on our profit margin, which in turn has had a negative impact on our ability to maintain growth equal to 2019-2020 levels.",Sales & Growth ,guides,Leadership & Strategy,An introduction to getting better at delegating and giving your team autonomy,"As businesses grow many leaders find it difficult to give up control. However, giving your team autonomy benefits both you and your staff.",0.0
247,"Drop in turnover has had an advserse effect on our profit margin, which in turn has had a negative impact on our ability to maintain growth equal to 2019-2020 levels.",Sales & Growth ,guides,Sales & Growth,An introduction to benchmarking your business against competitors,Finding out exactly how your business shapes up against your competitors is key to ensuring its success in a crowded market.,1.0
248,"Drop in turnover has had an advserse effect on our profit margin, which in turn has had a negative impact on our ability to maintain growth equal to 2019-2020 levels.",Sales & Growth ,action plans,Digital Readiness ,Setting your objective,Beginning the adoption of any new technology should start with being clear about what you want the software to do or the problem you’d like it to fix. That will help direct any future decisions you need to make and prevent you from investing in something your business either doesn’t need or won’t actually use.,1.0
249,"Drop in turnover has had an advserse effect on our profit margin, which in turn has had a negative impact on our ability to maintain growth equal to 2019-2020 levels.",Sales & Growth ,action plans,Leadership & Strategy,Taking action to overcome a problem in your business,"If you think you’ve found a potential problem in your business, the next step is to decide on the actions you’re going to take in response. What you decide to do – and how quickly you do it – will be pivotal in determining whether the problem can be solved at a small scale or whether it develops into a new, bigger challenge.",1.0
250,"The challenge is to step out of this mindset and drive the success of our own products with the
same commitment that we drive the products of our subcontract clients.",Leadership & Strategy ,action plans,Digital Readiness ,Creating an effective remote workforce,"Remote working is nothing new, but before coronavirus it was much more the realm of freelancers or more digitally-focused businesses. Businesses forced into remote working patterns are now experiencing first hand how a blended approach can actually be of benefit. Take advantage of the many common experiences and tools available to devise an approach to remote working that suits your business best.",0.0
251,"The challenge is to step out of this mindset and drive the success of our own products with the
same commitment that we drive the products of our subcontract clients.",Leadership & Strategy ,action plans,People & Team,Improve the way you performance manage staff,"At the heart of it, performance management involves a business and its employee getting the most out of the relationship. For the business, the process involves ensuring it is able to best leverage the skills and experience an individual has while, or an employee, it helps drive learning and development key to their current job role and future career. Taking the time to ensure the way your business performance manages staff will help both sides and drive important improvements and change.",1.0
252,"The challenge is to step out of this mindset and drive the success of our own products with the
same commitment that we drive the products of our subcontract clients.",Leadership & Strategy ,action plans,Planning,Making an informed decision about investing in your business,"Investing is a big decision and many business leaders are hesitant because it might not go to plan. But, without investment, some areas can become ineffective and stagnate. By talking to peers and staff, looking at what support is available, and making a clear business case for new investments, you can make a more informed decision and identify the investments which will have the most impact in the long term.",1.0
253,"The challenge is to step out of this mindset and drive the success of our own products with the
same commitment that we drive the products of our subcontract clients.",Leadership & Strategy ,action plans,Planning,Predict future trends in your market,"Market disruptors, new technology and cultural shifts can all have an impact on business development, but business leaders need to focus on predicting future trends, rather than just reacting to change. This starts with keeping yourself and your employees proactively engaged in change and encouraging a company culture that anticipates what’s ahead.",1.0
254,"The challenge is to step out of this mindset and drive the success of our own products with the
same commitment that we drive the products of our subcontract clients.",Leadership & Strategy ,action plans,Sales & Growth,Identifying growth opportunities in your current customer base,Starting at the bottom of your sales funnel is a great way to increase revenue. What new opportunities can you find to help your existing customers? Market research is easier because you have existing relationships and the cost of sale is likely to be lower because you don’t need to reach a new audience.,0.0
255,"The challenge is to step out of this mindset and drive the success of our own products with the
same commitment that we drive the products of our subcontract clients.",Leadership & Strategy ,guides,People & Team,An introduction to improving hiring and onboarding practices,"Businesses need strong hiring and onboarding practices to attract and retain talent that’s moving around more than ever.The current challenges faced by business leaders are indicative of how much employee expectations and ambitions have changed. The era of lifetime employment is over – 21 per cent of millennials changed jobs in the past year, more than three times the number of non-millennials.There are also higher expectations for onboarding too. Research found that 91 per cent would consider leaving a job within their first month and 93 per cent during their probation period.Few businesses can afford to make mistakes when it comes to hiring, whether it’s recruiting the wrong person or failing to spend enough time integrating them into the company.It’s essential to think about how – and where – you’re finding candidates and what their first experiences of your business are like.In this guide, we’ll look at how hiring and onboarding has changed, common mistakes companies make and quick wins that can improve your practices. The next step will be to use our focussed Action Plan to direct your change and improvement.",0.0
256,"The challenge is to step out of this mindset and drive the success of our own products with the
same commitment that we drive the products of our subcontract clients.",Leadership & Strategy ,guides,Leadership & Strategy,An introduction to getting better at delegating and giving your team autonomy,"As businesses grow many leaders find it difficult to give up control. However, giving your team autonomy benefits both you and your staff.",0.0
257,"The challenge is to step out of this mindset and drive the success of our own products with the
same commitment that we drive the products of our subcontract clients.",Leadership & Strategy ,guides,Sales & Growth,An introduction to benchmarking your business against competitors,Finding out exactly how your business shapes up against your competitors is key to ensuring its success in a crowded market.,0.0
258,"The challenge is to step out of this mindset and drive the success of our own products with the
same commitment that we drive the products of our subcontract clients.",Leadership & Strategy ,action plans,Digital Readiness ,Setting your objective,Beginning the adoption of any new technology should start with being clear about what you want the software to do or the problem you’d like it to fix. That will help direct any future decisions you need to make and prevent you from investing in something your business either doesn’t need or won’t actually use.,0.0
259,"The challenge is to step out of this mindset and drive the success of our own products with the
same commitment that we drive the products of our subcontract clients.",Leadership & Strategy ,action plans,Leadership & Strategy,Taking action to overcome a problem in your business,"If you think you’ve found a potential problem in your business, the next step is to decide on the actions you’re going to take in response. What you decide to do – and how quickly you do it – will be pivotal in determining whether the problem can be solved at a small scale or whether it develops into a new, bigger challenge.",1.0
260,"Having a well engage board of advisory and executive management, establsihing the  required policies and management system, securing funding for operation costs and events",Leadership & Strategy ,action plans,Digital Readiness ,Creating an effective remote workforce,"Remote working is nothing new, but before coronavirus it was much more the realm of freelancers or more digitally-focused businesses. Businesses forced into remote working patterns are now experiencing first hand how a blended approach can actually be of benefit. Take advantage of the many common experiences and tools available to devise an approach to remote working that suits your business best.",0.0
261,"Having a well engage board of advisory and executive management, establsihing the  required policies and management system, securing funding for operation costs and events",Leadership & Strategy ,action plans,People & Team,Improve the way you performance manage staff,"At the heart of it, performance management involves a business and its employee getting the most out of the relationship. For the business, the process involves ensuring it is able to best leverage the skills and experience an individual has while, or an employee, it helps drive learning and development key to their current job role and future career. Taking the time to ensure the way your business performance manages staff will help both sides and drive important improvements and change.",1.0
262,"Having a well engage board of advisory and executive management, establsihing the  required policies and management system, securing funding for operation costs and events",Leadership & Strategy ,action plans,Planning,Making an informed decision about investing in your business,"Investing is a big decision and many business leaders are hesitant because it might not go to plan. But, without investment, some areas can become ineffective and stagnate. By talking to peers and staff, looking at what support is available, and making a clear business case for new investments, you can make a more informed decision and identify the investments which will have the most impact in the long term.",0.0
263,"Having a well engage board of advisory and executive management, establsihing the  required policies and management system, securing funding for operation costs and events",Leadership & Strategy ,action plans,Planning,Predict future trends in your market,"Market disruptors, new technology and cultural shifts can all have an impact on business development, but business leaders need to focus on predicting future trends, rather than just reacting to change. This starts with keeping yourself and your employees proactively engaged in change and encouraging a company culture that anticipates what’s ahead.",0.0
264,"Having a well engage board of advisory and executive management, establsihing the  required policies and management system, securing funding for operation costs and events",Leadership & Strategy ,action plans,Sales & Growth,Identifying growth opportunities in your current customer base,Starting at the bottom of your sales funnel is a great way to increase revenue. What new opportunities can you find to help your existing customers? Market research is easier because you have existing relationships and the cost of sale is likely to be lower because you don’t need to reach a new audience.,0.0
265,"Having a well engage board of advisory and executive management, establsihing the  required policies and management system, securing funding for operation costs and events",Leadership & Strategy ,guides,People & Team,An introduction to improving hiring and onboarding practices,"Businesses need strong hiring and onboarding practices to attract and retain talent that’s moving around more than ever.The current challenges faced by business leaders are indicative of how much employee expectations and ambitions have changed. The era of lifetime employment is over – 21 per cent of millennials changed jobs in the past year, more than three times the number of non-millennials.There are also higher expectations for onboarding too. Research found that 91 per cent would consider leaving a job within their first month and 93 per cent during their probation period.Few businesses can afford to make mistakes when it comes to hiring, whether it’s recruiting the wrong person or failing to spend enough time integrating them into the company.It’s essential to think about how – and where – you’re finding candidates and what their first experiences of your business are like.In this guide, we’ll look at how hiring and onboarding has changed, common mistakes companies make and quick wins that can improve your practices. The next step will be to use our focussed Action Plan to direct your change and improvement.",1.0
266,"Having a well engage board of advisory and executive management, establsihing the  required policies and management system, securing funding for operation costs and events",Leadership & Strategy ,guides,Leadership & Strategy,An introduction to getting better at delegating and giving your team autonomy,"As businesses grow many leaders find it difficult to give up control. However, giving your team autonomy benefits both you and your staff.",1.0
267,"Having a well engage board of advisory and executive management, establsihing the  required policies and management system, securing funding for operation costs and events",Leadership & Strategy ,guides,Sales & Growth,An introduction to benchmarking your business against competitors,Finding out exactly how your business shapes up against your competitors is key to ensuring its success in a crowded market.,0.0
268,"Having a well engage board of advisory and executive management, establsihing the  required policies and management system, securing funding for operation costs and events",Leadership & Strategy ,action plans,Digital Readiness ,Setting your objective,Beginning the adoption of any new technology should start with being clear about what you want the software to do or the problem you’d like it to fix. That will help direct any future decisions you need to make and prevent you from investing in something your business either doesn’t need or won’t actually use.,0.0
269,"Having a well engage board of advisory and executive management, establsihing the  required policies and management system, securing funding for operation costs and events",Leadership & Strategy ,action plans,Leadership & Strategy,Taking action to overcome a problem in your business,"If you think you’ve found a potential problem in your business, the next step is to decide on the actions you’re going to take in response. What you decide to do – and how quickly you do it – will be pivotal in determining whether the problem can be solved at a small scale or whether it develops into a new, bigger challenge.",0.0
270,"We had reduced our  headcount to bring the wage bill down, however, this means we work in the business on day to day issues rather than growing it. Attracting talent is tough, it is a warehouse in a small town so good, creative people tend to want to be in a city centre. Therefore, we’ve recruited low level employees and take on the senior work ourselves or via an agency. ",People & Team,action plans,Digital Readiness ,Creating an effective remote workforce,"Remote working is nothing new, but before coronavirus it was much more the realm of freelancers or more digitally-focused businesses. Businesses forced into remote working patterns are now experiencing first hand how a blended approach can actually be of benefit. Take advantage of the many common experiences and tools available to devise an approach to remote working that suits your business best.",0.0
271,"We had reduced our  headcount to bring the wage bill down, however, this means we work in the business on day to day issues rather than growing it. Attracting talent is tough, it is a warehouse in a small town so good, creative people tend to want to be in a city centre. Therefore, we’ve recruited low level employees and take on the senior work ourselves or via an agency. ",People & Team,action plans,People & Team,Improve the way you performance manage staff,"At the heart of it, performance management involves a business and its employee getting the most out of the relationship. For the business, the process involves ensuring it is able to best leverage the skills and experience an individual has while, or an employee, it helps drive learning and development key to their current job role and future career. Taking the time to ensure the way your business performance manages staff will help both sides and drive important improvements and change.",1.0
272,"We had reduced our  headcount to bring the wage bill down, however, this means we work in the business on day to day issues rather than growing it. Attracting talent is tough, it is a warehouse in a small town so good, creative people tend to want to be in a city centre. Therefore, we’ve recruited low level employees and take on the senior work ourselves or via an agency. ",People & Team,action plans,Planning,Making an informed decision about investing in your business,"Investing is a big decision and many business leaders are hesitant because it might not go to plan. But, without investment, some areas can become ineffective and stagnate. By talking to peers and staff, looking at what support is available, and making a clear business case for new investments, you can make a more informed decision and identify the investments which will have the most impact in the long term.",0.0
273,"We had reduced our  headcount to bring the wage bill down, however, this means we work in the business on day to day issues rather than growing it. Attracting talent is tough, it is a warehouse in a small town so good, creative people tend to want to be in a city centre. Therefore, we’ve recruited low level employees and take on the senior work ourselves or via an agency. ",People & Team,action plans,Planning,Predict future trends in your market,"Market disruptors, new technology and cultural shifts can all have an impact on business development, but business leaders need to focus on predicting future trends, rather than just reacting to change. This starts with keeping yourself and your employees proactively engaged in change and encouraging a company culture that anticipates what’s ahead.",0.0
274,"We had reduced our  headcount to bring the wage bill down, however, this means we work in the business on day to day issues rather than growing it. Attracting talent is tough, it is a warehouse in a small town so good, creative people tend to want to be in a city centre. Therefore, we’ve recruited low level employees and take on the senior work ourselves or via an agency. ",People & Team,action plans,Sales & Growth,Identifying growth opportunities in your current customer base,Starting at the bottom of your sales funnel is a great way to increase revenue. What new opportunities can you find to help your existing customers? Market research is easier because you have existing relationships and the cost of sale is likely to be lower because you don’t need to reach a new audience.,1.0
275,"We had reduced our  headcount to bring the wage bill down, however, this means we work in the business on day to day issues rather than growing it. Attracting talent is tough, it is a warehouse in a small town so good, creative people tend to want to be in a city centre. Therefore, we’ve recruited low level employees and take on the senior work ourselves or via an agency. ",People & Team,guides,People & Team,An introduction to improving hiring and onboarding practices,"Businesses need strong hiring and onboarding practices to attract and retain talent that’s moving around more than ever.The current challenges faced by business leaders are indicative of how much employee expectations and ambitions have changed. The era of lifetime employment is over – 21 per cent of millennials changed jobs in the past year, more than three times the number of non-millennials.There are also higher expectations for onboarding too. Research found that 91 per cent would consider leaving a job within their first month and 93 per cent during their probation period.Few businesses can afford to make mistakes when it comes to hiring, whether it’s recruiting the wrong person or failing to spend enough time integrating them into the company.It’s essential to think about how – and where – you’re finding candidates and what their first experiences of your business are like.In this guide, we’ll look at how hiring and onboarding has changed, common mistakes companies make and quick wins that can improve your practices. The next step will be to use our focussed Action Plan to direct your change and improvement.",1.0
276,"We had reduced our  headcount to bring the wage bill down, however, this means we work in the business on day to day issues rather than growing it. Attracting talent is tough, it is a warehouse in a small town so good, creative people tend to want to be in a city centre. Therefore, we’ve recruited low level employees and take on the senior work ourselves or via an agency. ",People & Team,guides,Leadership & Strategy,An introduction to getting better at delegating and giving your team autonomy,"As businesses grow many leaders find it difficult to give up control. However, giving your team autonomy benefits both you and your staff.",1.0
277,"We had reduced our  headcount to bring the wage bill down, however, this means we work in the business on day to day issues rather than growing it. Attracting talent is tough, it is a warehouse in a small town so good, creative people tend to want to be in a city centre. Therefore, we’ve recruited low level employees and take on the senior work ourselves or via an agency. ",People & Team,guides,Sales & Growth,An introduction to benchmarking your business against competitors,Finding out exactly how your business shapes up against your competitors is key to ensuring its success in a crowded market.,0.0
278,"We had reduced our  headcount to bring the wage bill down, however, this means we work in the business on day to day issues rather than growing it. Attracting talent is tough, it is a warehouse in a small town so good, creative people tend to want to be in a city centre. Therefore, we’ve recruited low level employees and take on the senior work ourselves or via an agency. ",People & Team,action plans,Digital Readiness ,Setting your objective,Beginning the adoption of any new technology should start with being clear about what you want the software to do or the problem you’d like it to fix. That will help direct any future decisions you need to make and prevent you from investing in something your business either doesn’t need or won’t actually use.,0.0
279,"We had reduced our  headcount to bring the wage bill down, however, this means we work in the business on day to day issues rather than growing it. Attracting talent is tough, it is a warehouse in a small town so good, creative people tend to want to be in a city centre. Therefore, we’ve recruited low level employees and take on the senior work ourselves or via an agency. ",People & Team,action plans,Leadership & Strategy,Taking action to overcome a problem in your business,"If you think you’ve found a potential problem in your business, the next step is to decide on the actions you’re going to take in response. What you decide to do – and how quickly you do it – will be pivotal in determining whether the problem can be solved at a small scale or whether it develops into a new, bigger challenge.",1.0
280,Struggling to monetise the business in order to grow a team,People & Team,action plans,Digital Readiness ,Creating an effective remote workforce,"Remote working is nothing new, but before coronavirus it was much more the realm of freelancers or more digitally-focused businesses. Businesses forced into remote working patterns are now experiencing first hand how a blended approach can actually be of benefit. Take advantage of the many common experiences and tools available to devise an approach to remote working that suits your business best.",0.0
281,Struggling to monetise the business in order to grow a team,People & Team,action plans,People & Team,Improve the way you performance manage staff,"At the heart of it, performance management involves a business and its employee getting the most out of the relationship. For the business, the process involves ensuring it is able to best leverage the skills and experience an individual has while, or an employee, it helps drive learning and development key to their current job role and future career. Taking the time to ensure the way your business performance manages staff will help both sides and drive important improvements and change.",0.0
282,Struggling to monetise the business in order to grow a team,People & Team,action plans,Planning,Making an informed decision about investing in your business,"Investing is a big decision and many business leaders are hesitant because it might not go to plan. But, without investment, some areas can become ineffective and stagnate. By talking to peers and staff, looking at what support is available, and making a clear business case for new investments, you can make a more informed decision and identify the investments which will have the most impact in the long term.",1.0
283,Struggling to monetise the business in order to grow a team,People & Team,action plans,Planning,Predict future trends in your market,"Market disruptors, new technology and cultural shifts can all have an impact on business development, but business leaders need to focus on predicting future trends, rather than just reacting to change. This starts with keeping yourself and your employees proactively engaged in change and encouraging a company culture that anticipates what’s ahead.",1.0
284,Struggling to monetise the business in order to grow a team,People & Team,action plans,Sales & Growth,Identifying growth opportunities in your current customer base,Starting at the bottom of your sales funnel is a great way to increase revenue. What new opportunities can you find to help your existing customers? Market research is easier because you have existing relationships and the cost of sale is likely to be lower because you don’t need to reach a new audience.,1.0
285,Struggling to monetise the business in order to grow a team,People & Team,guides,People & Team,An introduction to improving hiring and onboarding practices,"Businesses need strong hiring and onboarding practices to attract and retain talent that’s moving around more than ever.The current challenges faced by business leaders are indicative of how much employee expectations and ambitions have changed. The era of lifetime employment is over – 21 per cent of millennials changed jobs in the past year, more than three times the number of non-millennials.There are also higher expectations for onboarding too. Research found that 91 per cent would consider leaving a job within their first month and 93 per cent during their probation period.Few businesses can afford to make mistakes when it comes to hiring, whether it’s recruiting the wrong person or failing to spend enough time integrating them into the company.It’s essential to think about how – and where – you’re finding candidates and what their first experiences of your business are like.In this guide, we’ll look at how hiring and onboarding has changed, common mistakes companies make and quick wins that can improve your practices. The next step will be to use our focussed Action Plan to direct your change and improvement.",0.0
286,Struggling to monetise the business in order to grow a team,People & Team,guides,Leadership & Strategy,An introduction to getting better at delegating and giving your team autonomy,"As businesses grow many leaders find it difficult to give up control. However, giving your team autonomy benefits both you and your staff.",0.0
287,Struggling to monetise the business in order to grow a team,People & Team,guides,Sales & Growth,An introduction to benchmarking your business against competitors,Finding out exactly how your business shapes up against your competitors is key to ensuring its success in a crowded market.,1.0
288,Struggling to monetise the business in order to grow a team,People & Team,action plans,Digital Readiness ,Setting your objective,Beginning the adoption of any new technology should start with being clear about what you want the software to do or the problem you’d like it to fix. That will help direct any future decisions you need to make and prevent you from investing in something your business either doesn’t need or won’t actually use.,0.0
289,Struggling to monetise the business in order to grow a team,People & Team,action plans,Leadership & Strategy,Taking action to overcome a problem in your business,"If you think you’ve found a potential problem in your business, the next step is to decide on the actions you’re going to take in response. What you decide to do – and how quickly you do it – will be pivotal in determining whether the problem can be solved at a small scale or whether it develops into a new, bigger challenge.",1.0
300,Costs are increasing whilst other retailers are doing stupid discounts to buy customers,Leadership & Strategy ,action plans,Digital Readiness ,Creating an effective remote workforce,"Remote working is nothing new, but before coronavirus it was much more the realm of freelancers or more digitally-focused businesses. Businesses forced into remote working patterns are now experiencing first hand how a blended approach can actually be of benefit. Take advantage of the many common experiences and tools available to devise an approach to remote working that suits your business best.",0.0
301,Costs are increasing whilst other retailers are doing stupid discounts to buy customers,Leadership & Strategy ,action plans,People & Team,Improve the way you performance manage staff,"At the heart of it, performance management involves a business and its employee getting the most out of the relationship. For the business, the process involves ensuring it is able to best leverage the skills and experience an individual has while, or an employee, it helps drive learning and development key to their current job role and future career. Taking the time to ensure the way your business performance manages staff will help both sides and drive important improvements and change.",0.0
302,Costs are increasing whilst other retailers are doing stupid discounts to buy customers,Leadership & Strategy ,action plans,Planning,Making an informed decision about investing in your business,"Investing is a big decision and many business leaders are hesitant because it might not go to plan. But, without investment, some areas can become ineffective and stagnate. By talking to peers and staff, looking at what support is available, and making a clear business case for new investments, you can make a more informed decision and identify the investments which will have the most impact in the long term.",1.0
303,Costs are increasing whilst other retailers are doing stupid discounts to buy customers,Leadership & Strategy ,action plans,Planning,Predict future trends in your market,"Market disruptors, new technology and cultural shifts can all have an impact on business development, but business leaders need to focus on predicting future trends, rather than just reacting to change. This starts with keeping yourself and your employees proactively engaged in change and encouraging a company culture that anticipates what’s ahead.",1.0
304,Costs are increasing whilst other retailers are doing stupid discounts to buy customers,Leadership & Strategy ,action plans,Sales & Growth,Identifying growth opportunities in your current customer base,Starting at the bottom of your sales funnel is a great way to increase revenue. What new opportunities can you find to help your existing customers? Market research is easier because you have existing relationships and the cost of sale is likely to be lower because you don’t need to reach a new audience.,1.0
305,Costs are increasing whilst other retailers are doing stupid discounts to buy customers,Leadership & Strategy ,guides,People & Team,An introduction to improving hiring and onboarding practices,"Businesses need strong hiring and onboarding practices to attract and retain talent that’s moving around more than ever.The current challenges faced by business leaders are indicative of how much employee expectations and ambitions have changed. The era of lifetime employment is over – 21 per cent of millennials changed jobs in the past year, more than three times the number of non-millennials.There are also higher expectations for onboarding too. Research found that 91 per cent would consider leaving a job within their first month and 93 per cent during their probation period.Few businesses can afford to make mistakes when it comes to hiring, whether it’s recruiting the wrong person or failing to spend enough time integrating them into the company.It’s essential to think about how – and where – you’re finding candidates and what their first experiences of your business are like.In this guide, we’ll look at how hiring and onboarding has changed, common mistakes companies make and quick wins that can improve your practices. The next step will be to use our focussed Action Plan to direct your change and improvement.",0.0
306,Costs are increasing whilst other retailers are doing stupid discounts to buy customers,Leadership & Strategy ,guides,Leadership & Strategy,An introduction to getting better at delegating and giving your team autonomy,"As businesses grow many leaders find it difficult to give up control. However, giving your team autonomy benefits both you and your staff.",0.0
307,Costs are increasing whilst other retailers are doing stupid discounts to buy customers,Leadership & Strategy ,guides,Sales & Growth,An introduction to benchmarking your business against competitors,Finding out exactly how your business shapes up against your competitors is key to ensuring its success in a crowded market.,1.0
308,Costs are increasing whilst other retailers are doing stupid discounts to buy customers,Leadership & Strategy ,action plans,Digital Readiness ,Setting your objective,Beginning the adoption of any new technology should start with being clear about what you want the software to do or the problem you’d like it to fix. That will help direct any future decisions you need to make and prevent you from investing in something your business either doesn’t need or won’t actually use.,0.0
309,Costs are increasing whilst other retailers are doing stupid discounts to buy customers,Leadership & Strategy ,action plans,Leadership & Strategy,Taking action to overcome a problem in your business,"If you think you’ve found a potential problem in your business, the next step is to decide on the actions you’re going to take in response. What you decide to do – and how quickly you do it – will be pivotal in determining whether the problem can be solved at a small scale or whether it develops into a new, bigger challenge.",1.0
310,"I am new to the role of MD.  This has been a family run business which over the years has had very little cooperate governance and good board meeting governance.  It is like starting again.  And how to communicate the strategy of the business to the board.  The investment and culture change required over the coming years within the business, who’s age demographics is aging.  To change from a repair to IOT will be very challenging 

",People & Team,action plans,Digital Readiness ,Creating an effective remote workforce,"Remote working is nothing new, but before coronavirus it was much more the realm of freelancers or more digitally-focused businesses. Businesses forced into remote working patterns are now experiencing first hand how a blended approach can actually be of benefit. Take advantage of the many common experiences and tools available to devise an approach to remote working that suits your business best.",0.0
311,"I am new to the role of MD.  This has been a family run business which over the years has had very little cooperate governance and good board meeting governance.  It is like starting again.  And how to communicate the strategy of the business to the board.  The investment and culture change required over the coming years within the business, who’s age demographics is aging.  To change from a repair to IOT will be very challenging 

",People & Team,action plans,People & Team,Improve the way you performance manage staff,"At the heart of it, performance management involves a business and its employee getting the most out of the relationship. For the business, the process involves ensuring it is able to best leverage the skills and experience an individual has while, or an employee, it helps drive learning and development key to their current job role and future career. Taking the time to ensure the way your business performance manages staff will help both sides and drive important improvements and change.",0.0
312,"I am new to the role of MD.  This has been a family run business which over the years has had very little cooperate governance and good board meeting governance.  It is like starting again.  And how to communicate the strategy of the business to the board.  The investment and culture change required over the coming years within the business, who’s age demographics is aging.  To change from a repair to IOT will be very challenging 

",People & Team,action plans,Planning,Making an informed decision about investing in your business,"Investing is a big decision and many business leaders are hesitant because it might not go to plan. But, without investment, some areas can become ineffective and stagnate. By talking to peers and staff, looking at what support is available, and making a clear business case for new investments, you can make a more informed decision and identify the investments which will have the most impact in the long term.",1.0
313,"I am new to the role of MD.  This has been a family run business which over the years has had very little cooperate governance and good board meeting governance.  It is like starting again.  And how to communicate the strategy of the business to the board.  The investment and culture change required over the coming years within the business, who’s age demographics is aging.  To change from a repair to IOT will be very challenging 

",People & Team,action plans,Planning,Predict future trends in your market,"Market disruptors, new technology and cultural shifts can all have an impact on business development, but business leaders need to focus on predicting future trends, rather than just reacting to change. This starts with keeping yourself and your employees proactively engaged in change and encouraging a company culture that anticipates what’s ahead.",1.0
314,"I am new to the role of MD.  This has been a family run business which over the years has had very little cooperate governance and good board meeting governance.  It is like starting again.  And how to communicate the strategy of the business to the board.  The investment and culture change required over the coming years within the business, who’s age demographics is aging.  To change from a repair to IOT will be very challenging 

",People & Team,action plans,Sales & Growth,Identifying growth opportunities in your current customer base,Starting at the bottom of your sales funnel is a great way to increase revenue. What new opportunities can you find to help your existing customers? Market research is easier because you have existing relationships and the cost of sale is likely to be lower because you don’t need to reach a new audience.,1.0
315,"I am new to the role of MD.  This has been a family run business which over the years has had very little cooperate governance and good board meeting governance.  It is like starting again.  And how to communicate the strategy of the business to the board.  The investment and culture change required over the coming years within the business, who’s age demographics is aging.  To change from a repair to IOT will be very challenging 

",People & Team,guides,People & Team,An introduction to improving hiring and onboarding practices,"Businesses need strong hiring and onboarding practices to attract and retain talent that’s moving around more than ever.The current challenges faced by business leaders are indicative of how much employee expectations and ambitions have changed. The era of lifetime employment is over – 21 per cent of millennials changed jobs in the past year, more than three times the number of non-millennials.There are also higher expectations for onboarding too. Research found that 91 per cent would consider leaving a job within their first month and 93 per cent during their probation period.Few businesses can afford to make mistakes when it comes to hiring, whether it’s recruiting the wrong person or failing to spend enough time integrating them into the company.It’s essential to think about how – and where – you’re finding candidates and what their first experiences of your business are like.In this guide, we’ll look at how hiring and onboarding has changed, common mistakes companies make and quick wins that can improve your practices. The next step will be to use our focussed Action Plan to direct your change and improvement.",0.0
